<<<<<<< HEAD
281496 Лампа  
460258 Качели  
719869 Книга  
225728 Коврик  
606391 Портфель  
609371 Кроссовок  
539948 Копилка  
670361 Светильник  
425228 Телевизор  
403174 Кастрюля  
923427 Пробка  
763655 Чашка  
921005 Часы  
804552 Салфетка  
446259 Свеча  
495534 Футболка  
604757 Холодильник  
760732 Масло  
181343 Масло  
894782 Картридж  
129617 Рука  
436124 Ремень  
617365 Тапочки  
514898 Блокнот  
665947 Качели  
265111 Кружка  
447701 Спорт  
212088 Календарь  
930469 Аромат  
258508 Попугай  
104507 Стол  
432050 Лампа  
544239 Чай  
600644 Маска  
787715 Нож  
780465 Ремень  
429673 Спорт  
742829 Копилка  
711268 Годинник  
849134 Календарь  
612487 Копилка  
415771 Блюдо  
274261 Ручка  
442949 Шоколад  
278231 Сумка  
278501 Спорт  
756156 Часы  
981595 Айс  
210390 Ноутбук  
393955 Яблоко
523871 Копилка  
828405 Ноутбук  
711494 Пробка  
143707 Зеркало  
845495 Кресло  
456620 Кабель  
511008 Яблоко
303779 Масло  
154900 Фонарик  
827662 Спорт  
757322 Зонтик  
353647 Наклейка  
858016 Ложка  
924810 Окно  
242292 Календарь  
393932 Вилка  
244191 Платье  
641123 Какао  
368644 Пенал  
272742 Масло  
236155 Разделочная  
494939 Зонтик  
112993 Попугай  
575465 Картридж  
687944 Салфетка  
656289 Коврик  
509299 Шоколад  
488542 Кастрюля  
921525 Спорт  
352107 Полотенце  
385362 Мытье  
978022 Компьютер  
993568 Разделочная  
156193 Кроссовок  
582439 Батарея  
893627 Пирог  
550019 Чашка  
350508 Наклейка  
209267 Парасоля  
771700 Попугай  
409217 Гитара  
542369 Телевизор  
579618 Какао  
417297 Штраф  
229050 Кружка  
630638 Футболка  
237412 Телевизор  
944905 Яблоко
413370 Батарея  
880513 Косметика  
=======
201584 Попугай  
456351 Качели  
838486 Спорт  
765586 Полотенце  
197579 Светильник  
878082 Календарь  
395475 Сумка  
289324 Чашка  
171443 Сахар  
302812 Блюдо  
941051 Тапочки  
485527 Масло  
920709 Светильник  
375933 Подушка  
998638 Пенал  
>>>>>>> 94d8d0d50473dc8e11d36ffd0e7a9409c2a611d5
